titles,summaries,terms
ACNN: a Full Resolution DCNN for Medical Image Segmentation,"Deep Convolutional Neural Networks (DCNNs) are used extensively in medical
image segmentation and hence 3D navigation for robot-assisted Minimally
Invasive Surgeries (MISs). However, current DCNNs usually use down sampling
layers for increasing the receptive field and gaining abstract semantic
information. These down sampling layers decrease the spatial dimension of
feature maps, which can be detrimental to image segmentation. Atrous
convolution is an alternative for the down sampling layer. It increases the
receptive field whilst maintains the spatial dimension of feature maps. In this
paper, a method for effective atrous rate setting is proposed to achieve the
largest and fully-covered receptive field with a minimum number of atrous
convolutional layers. Furthermore, a new and full resolution DCNN - Atrous
Convolutional Neural Network (ACNN), which incorporates cascaded atrous
II-blocks, residual learning and Instance Normalization (IN) is proposed.
Application results of the proposed ACNN to Magnetic Resonance Imaging (MRI)
and Computed Tomography (CT) image segmentation demonstrate that the proposed
ACNN can achieve higher segmentation Intersection over Unions (IoUs) than U-Net
and Deeplabv3+, but with reduced trainable parameters.","['cs.LG', 'stat.ML']"
Critical Assessment of Transfer Learning for Medical Image Segmentation with Fully Convolutional Neural Networks,"Transfer learning is widely used for training machine learning models. Here,
we study the role of transfer learning for training fully convolutional
networks (FCNs) for medical image segmentation. Our experiments show that
although transfer learning reduces the training time on the target task, the
improvement in segmentation accuracy is highly task/data-dependent. Larger
improvements in accuracy are observed when the segmentation task is more
challenging and the target training data is smaller. We observe that
convolutional filters of an FCN change little during training for medical image
segmentation, and still look random at convergence. We further show that quite
accurate FCNs can be built by freezing the encoder section of the network at
random values and only training the decoder section. At least for medical image
segmentation, this finding challenges the common belief that the encoder
section needs to learn data/task-specific representations. We examine the
evolution of FCN representations to gain a better insight into the effects of
transfer learning on the training dynamics. Our analysis shows that although
FCNs trained via transfer learning learn different representations than FCNs
trained with random initialization, the variability among FCNs trained via
transfer learning can be as high as that among FCNs trained with random
initialization. Moreover, feature reuse is not restricted to the early encoder
layers; rather, it can be more significant in deeper layers. These findings
offer new insights and suggest alternative ways of training FCNs for medical
image segmentation.","['cs.CV', 'cs.LG', 'eess.IV']"
Super-BPD: Super Boundary-to-Pixel Direction for Fast Image Segmentation,"Image segmentation is a fundamental vision task and a crucial step for many
applications. In this paper, we propose a fast image segmentation method based
on a novel super boundary-to-pixel direction (super-BPD) and a customized
segmentation algorithm with super-BPD. Precisely, we define BPD on each pixel
as a two-dimensional unit vector pointing from its nearest boundary to the
pixel. In the BPD, nearby pixels from different regions have opposite
directions departing from each other, and adjacent pixels in the same region
have directions pointing to the other or each other (i.e., around medial
points). We make use of such property to partition an image into super-BPDs,
which are novel informative superpixels with robust direction similarity for
fast grouping into segmentation regions. Extensive experimental results on
BSDS500 and Pascal Context demonstrate the accuracy and efficency of the
proposed super-BPD in segmenting images. In practice, the proposed super-BPD
achieves comparable or superior performance with MCG while running at ~25fps
vs. 0.07fps. Super-BPD also exhibits a noteworthy transferability to unseen
scenes. The code is publicly available at
https://github.com/JianqiangWan/Super-BPD.",['cs.CV']
WaveSNet: Wavelet Integrated Deep Networks for Image Segmentation,"In deep networks, the lost data details significantly degrade the
performances of image segmentation. In this paper, we propose to apply Discrete
Wavelet Transform (DWT) to extract the data details during feature map
down-sampling, and adopt Inverse DWT (IDWT) with the extracted details during
the up-sampling to recover the details. We firstly transform DWT/IDWT as
general network layers, which are applicable to 1D/2D/3D data and various
wavelets like Haar, Cohen, and Daubechies, etc. Then, we design wavelet
integrated deep networks for image segmentation (WaveSNets) based on various
architectures, including U-Net, SegNet, and DeepLabv3+. Due to the
effectiveness of the DWT/IDWT in processing data details, experimental results
on CamVid, Pascal VOC, and Cityscapes show that our WaveSNets achieve better
segmentation performances than their vanilla versions.",['cs.CV']
Evolution of Image Segmentation using Deep Convolutional Neural Network: A Survey,"From the autonomous car driving to medical diagnosis, the requirement of the
task of image segmentation is everywhere. Segmentation of an image is one of
the indispensable tasks in computer vision. This task is comparatively
complicated than other vision tasks as it needs low-level spatial information.
Basically, image segmentation can be of two types: semantic segmentation and
instance segmentation. The combined version of these two basic tasks is known
as panoptic segmentation. In the recent era, the success of deep convolutional
neural networks (CNN) has influenced the field of segmentation greatly and gave
us various successful models to date. In this survey, we are going to take a
glance at the evolution of both semantic and instance segmentation work based
on CNN. We have also specified comparative architectural details of some
state-of-the-art models and discuss their training details to present a lucid
understanding of hyper-parameter tuning of those models. We have also drawn a
comparison among the performance of those models on different datasets. Lastly,
we have given a glimpse of some state-of-the-art panoptic segmentation models.",['cs.CV']
Deep Learning-Based Automated Image Segmentation for Concrete Petrographic Analysis,"The standard petrography test method for measuring air voids in concrete
(ASTM C457) requires a meticulous and long examination of sample phase
composition under a stereomicroscope. The high expertise and specialized
equipment discourage this test for routine concrete quality control. Though the
task can be alleviated with the aid of color-based image segmentation,
additional surface color treatment is required. Recently, deep learning
algorithms using convolutional neural networks (CNN) have achieved
unprecedented segmentation performance on image testing benchmarks. In this
study, we investigated the feasibility of using CNN to conduct concrete
segmentation without the use of color treatment. The CNN demonstrated a strong
potential to process a wide range of concretes, including those not involved in
model training. The experimental results showed that CNN outperforms the
color-based segmentation by a considerable margin, and has comparable accuracy
to human experts. Furthermore, the segmentation time is reduced to mere
seconds.","['cs.CV', 'cs.CY', 'cs.LG']"
Improving Calibration and Out-of-Distribution Detection in Medical Image Segmentation with Convolutional Neural Networks,"Convolutional Neural Networks (CNNs) have shown to be powerful medical image
segmentation models. In this study, we address some of the main unresolved
issues regarding these models. Specifically, training of these models on small
medical image datasets is still challenging, with many studies promoting
techniques such as transfer learning. Moreover, these models are infamous for
producing over-confident predictions and for failing silently when presented
with out-of-distribution (OOD) data at test time. In this paper, we advocate
for multi-task learning, i.e., training a single model on several different
datasets, spanning several different organs of interest and different imaging
modalities. We show that not only a single CNN learns to automatically
recognize the context and accurately segment the organ of interest in each
context, but also that such a joint model often has more accurate and
better-calibrated predictions than dedicated models trained separately on each
dataset. Our experiments show that multi-task learning can outperform transfer
learning in medical image segmentation tasks. For detecting OOD data, we
propose a method based on spectral analysis of CNN feature maps. We show that
different datasets, representing different imaging modalities and/or different
organs of interest, have distinct spectral signatures, which can be used to
identify whether or not a test image is similar to the images used to train a
model. We show that this approach is far more accurate than OOD detection based
on prediction uncertainty. The methods proposed in this paper contribute
significantly to improving the accuracy and reliability of CNN-based medical
image segmentation models.","['cs.CV', 'cs.LG', 'eess.IV', 'stat.ML']"
Traditional Method Inspired Deep Neural Network for Edge Detection,"Recently, Deep-Neural-Network (DNN) based edge prediction is progressing
fast. Although the DNN based schemes outperform the traditional edge detectors,
they have much higher computational complexity. It could be that the DNN based
edge detectors often adopt the neural net structures designed for high-level
computer vision tasks, such as image segmentation and object recognition. Edge
detection is a rather local and simple job, the over-complicated architecture
and massive parameters may be unnecessary. Therefore, we propose a traditional
method inspired framework to produce good edges with minimal complexity. We
simplify the network architecture to include Feature Extractor, Enrichment, and
Summarizer, which roughly correspond to gradient, low pass filter, and pixel
connection in the traditional edge detection schemes. The proposed structure
can effectively reduce the complexity and retain the edge prediction quality.
Our TIN2 (Traditional Inspired Network) model has an accuracy higher than the
recent BDCN2 (Bi-Directional Cascade Network) but with a smaller model.",['cs.CV']
Robust Image Segmentation Quality Assessment,"Deep learning based image segmentation methods have achieved great success,
even having human-level accuracy in some applications. However, due to the
black box nature of deep learning, the best method may fail in some situations.
Thus predicting segmentation quality without ground truth would be very crucial
especially in clinical practice. Recently, people proposed to train neural
networks to estimate the quality score by regression. Although it can achieve
promising prediction accuracy, the network suffers robustness problem, e.g. it
is vulnerable to adversarial attacks. In this paper, we propose to alleviate
this problem by utilizing the difference between the input image and the
reconstructed image, which is conditioned on the segmentation to be assessed,
to lower the chance to overfit to the undesired image features from the
original input image, and thus to increase the robustness. Results on ACDC17
dataset demonstrated our method is promising.",['cs.CV']
Learning to segment from misaligned and partial labels,"To extract information at scale, researchers increasingly apply semantic
segmentation techniques to remotely-sensed imagery. While fully-supervised
learning enables accurate pixel-wise segmentation, compiling the exhaustive
datasets required is often prohibitively expensive. As a result, many non-urban
settings lack the ground-truth needed for accurate segmentation. Existing open
source infrastructure data for these regions can be inexact and non-exhaustive.
Open source infrastructure annotations like OpenStreetMaps (OSM) are
representative of this issue: while OSM labels provide global insights to road
and building footprints, noisy and partial annotations limit the performance of
segmentation algorithms that learn from them. In this paper, we present a novel
and generalizable two-stage framework that enables improved pixel-wise image
segmentation given misaligned and missing annotations. First, we introduce the
Alignment Correction Network to rectify incorrectly registered open source
labels. Next, we demonstrate a segmentation model -- the Pointer Segmentation
Network -- that uses corrected labels to predict infrastructure footprints
despite missing annotations. We test sequential performance on the AIRS
dataset, achieving a mean intersection-over-union score of 0.79; more
importantly, model performance remains stable as we decrease the fraction of
annotations present. We demonstrate the transferability of our method to lower
quality data, by applying the Alignment Correction Network to OSM labels to
correct building footprints; we also demonstrate the accuracy of the Pointer
Segmentation Network in predicting cropland boundaries in California from
medium resolution data. Overall, our methodology is robust for multiple
applications with varied amounts of training data present, thus offering a
method to extract reliable information from noisy, partial data.","['cs.CV', 'cs.CY', 'I.4.6; J.2']"
Multi-task deep learning for image segmentation using recursive approximation tasks,"Fully supervised deep neural networks for segmentation usually require a
massive amount of pixel-level labels which are manually expensive to create. In
this work, we develop a multi-task learning method to relax this constraint. We
regard the segmentation problem as a sequence of approximation subproblems that
are recursively defined and in increasing levels of approximation accuracy. The
subproblems are handled by a framework that consists of 1) a segmentation task
that learns from pixel-level ground truth segmentation masks of a small
fraction of the images, 2) a recursive approximation task that conducts partial
object regions learning and data-driven mask evolution starting from partial
masks of each object instance, and 3) other problem oriented auxiliary tasks
that are trained with sparse annotations and promote the learning of dedicated
features. Most training images are only labeled by (rough) partial masks, which
do not contain exact object boundaries, rather than by their full segmentation
masks. During the training phase, the approximation task learns the statistics
of these partial masks, and the partial regions are recursively increased
towards object boundaries aided by the learned information from the
segmentation task in a fully data-driven fashion. The network is trained on an
extremely small amount of precisely segmented images and a large set of coarse
labels. Annotations can thus be obtained in a cheap way. We demonstrate the
efficiency of our approach in three applications with microscopy images and
ultrasound images.","['cs.CV', 'cs.LG', 'eess.IV']"
Gleason Grading of Histology Prostate Images through Semantic Segmentation via Residual U-Net,"Worldwide, prostate cancer is one of the main cancers affecting men. The
final diagnosis of prostate cancer is based on the visual detection of Gleason
patterns in prostate biopsy by pathologists. Computer-aided-diagnosis systems
allow to delineate and classify the cancerous patterns in the tissue via
computer-vision algorithms in order to support the physicians' task. The
methodological core of this work is a U-Net convolutional neural network for
image segmentation modified with residual blocks able to segment cancerous
tissue according to the full Gleason system. This model outperforms other
well-known architectures, and reaches a pixel-level Cohen's quadratic Kappa of
0.52, at the level of previous image-level works in the literature, but
providing also a detailed localisation of the patterns.","['cs.CV', 'eess.IV']"
A New Validity Index for Fuzzy-Possibilistic C-Means Clustering,"In some complicated datasets, due to the presence of noisy data points and
outliers, cluster validity indices can give conflicting results in determining
the optimal number of clusters. This paper presents a new validity index for
fuzzy-possibilistic c-means clustering called Fuzzy-Possibilistic (FP) index,
which works well in the presence of clusters that vary in shape and density.
Moreover, FPCM like most of the clustering algorithms is susceptible to some
initial parameters. In this regard, in addition to the number of clusters, FPCM
requires a priori selection of the degree of fuzziness and the degree of
typicality. Therefore, we presented an efficient procedure for determining
their optimal values. The proposed approach has been evaluated using several
synthetic and real-world datasets. Final computational results demonstrate the
capabilities and reliability of the proposed approach compared with several
well-known fuzzy validity indices in the literature. Furthermore, to clarify
the ability of the proposed method in real applications, the proposed method is
implemented in microarray gene expression data clustering and medical image
segmentation.","['cs.LG', 'cs.AI', 'cs.CV', 'stat.ML', 'I.5.1; I.2.1; I.5.3; J.3; G.1.6']"
Convex Shape Prior for Deep Neural Convolution Network based Eye Fundus Images Segmentation,"Convex Shapes (CS) are common priors for optic disc and cup segmentation in
eye fundus images. It is important to design proper techniques to represent
convex shapes. So far, it is still a problem to guarantee that the output
objects from a Deep Neural Convolution Networks (DCNN) are convex shapes. In
this work, we propose a technique which can be easily integrated into the
commonly used DCNNs for image segmentation and guarantee that outputs are
convex shapes. This method is flexible and it can handle multiple objects and
allow some of the objects to be convex. Our method is based on the dual
representation of the sigmoid activation function in DCNNs. In the dual space,
the convex shape prior can be guaranteed by a simple quadratic constraint on a
binary representation of the shapes. Moreover, our method can also integrate
spatial regularization and some other shape prior using a soft thresholding
dynamics (STD) method. The regularization can make the boundary curves of the
segmentation objects to be simultaneously smooth and convex. We design a very
stable active set projection algorithm to numerically solve our model. This
algorithm can form a new plug-and-play DCNN layer called CS-STD whose outputs
must be a nearly binary segmentation of convex objects. In the CS-STD block,
the convexity information can be propagated to guide the DCNN in both forward
and backward propagation during training and prediction process. As an
application example, we apply the convexity prior layer to the retinal fundus
images segmentation by taking the popular DeepLabV3+ as a backbone network.
Experimental results on several public datasets show that our method is
efficient and outperforms the classical DCNN segmentation methods.",['cs.CV']
ECG-DelNet: Delineation of Ambulatory Electrocardiograms with Mixed Quality Labeling Using Neural Networks,"Electrocardiogram (ECG) detection and delineation are key steps for numerous
tasks in clinical practice, as ECG is the most performed non-invasive test for
assessing cardiac condition. State-of-the-art algorithms employ digital signal
processing (DSP), which require laborious rule adaptation to new morphologies.
In contrast, deep learning (DL) algorithms, especially for classification, are
gaining weight in academic and industrial settings. However, the lack of model
explainability and small databases hinder their applicability. We demonstrate
DL can be successfully applied to low interpretative tasks by embedding ECG
detection and delineation onto a segmentation framework. For this purpose, we
adapted and validated the most used neural network architecture for image
segmentation, the U-Net, to one-dimensional data. The model was trained using
PhysioNet's QT database, comprised of 105 ambulatory ECG recordings, for
single- and multi-lead scenarios. To alleviate data scarcity, data
regularization techniques such as pre-training with low-quality data labels,
performing ECG-based data augmentation and applying strong model regularizers
to the architecture were attempted. Other variations in the model's capacity
(U-Net's depth and width), alongside the application of state-of-the-art
additions, were evaluated. These variations were exhaustively validated in a
5-fold cross-validation manner. The best performing configuration reached
precisions of 90.12%, 99.14% and 98.25% and recalls of 98.73%, 99.94% and
99.88% for the P, QRS and T waves, respectively, on par with DSP-based
approaches. Despite being a data-hungry technique trained on a small dataset,
DL-based approaches demonstrate to be a viable alternative to traditional
DSP-based ECG processing techniques.","['cs.LG', 'eess.SP', 'stat.ML']"
Transformation Consistent Self-ensembling Model for Semi-supervised Medical Image Segmentation,"Deep convolutional neural networks have achieved remarkable progress on a
variety of medical image computing tasks. A common problem when applying
supervised deep learning methods to medical images is the lack of labeled data,
which is very expensive and time-consuming to be collected. In this paper, we
present a novel semi-supervised method for medical image segmentation, where
the network is optimized by the weighted combination of a common supervised
loss for labeled inputs only and a regularization loss for both labeled and
unlabeled data. To utilize the unlabeled data, our method encourages the
consistent predictions of the network-in-training for the same input under
different regularizations. Aiming for the semi-supervised segmentation problem,
we enhance the effect of regularization for pixel-level predictions by
introducing a transformation, including rotation and flipping, consistent
scheme in our self-ensembling model. With the aim of semi-supervised
segmentation tasks, we introduce a transformation consistent strategy in our
self-ensembling model to enhance the regularization effect for pixel-level
predictions. We have extensively validated the proposed semi-supervised method
on three typical yet challenging medical image segmentation tasks: (i) skin
lesion segmentation from dermoscopy images on International Skin Imaging
Collaboration (ISIC) 2017 dataset, (ii) optic disc segmentation from fundus
images on Retinal Fundus Glaucoma Challenge (REFUGE) dataset, and (iii) liver
segmentation from volumetric CT scans on Liver Tumor Segmentation Challenge
(LiTS) dataset. Compared to the state-of-the-arts, our proposed method shows
superior segmentation performance on challenging 2D/3D medical images,
demonstrating the effectiveness of our semi-supervised method for medical image
segmentation.",['cs.CV']
Lake Ice Monitoring with Webcams and Crowd-Sourced Images,"Lake ice is a strong climate indicator and has been recognised as part of the
Essential Climate Variables (ECV) by the Global Climate Observing System
(GCOS). The dynamics of freezing and thawing, and possible shifts of freezing
patterns over time, can help in understanding the local and global climate
systems. One way to acquire the spatio-temporal information about lake ice
formation, independent of clouds, is to analyse webcam images. This paper
intends to move towards a universal model for monitoring lake ice with freely
available webcam data. We demonstrate good performance, including the ability
to generalise across different winters and different lakes, with a
state-of-the-art Convolutional Neural Network (CNN) model for semantic image
segmentation, Deeplab v3+. Moreover, we design a variant of that model, termed
Deep-U-Lab, which predicts sharper, more correct segmentation boundaries. We
have tested the model's ability to generalise with data from multiple camera
views and two different winters. On average, it achieves
intersection-over-union (IoU) values of ~71% across different cameras and ~69%
across different winters, greatly outperforming prior work. Going even further,
we show that the model even achieves 60% IoU on arbitrary images scraped from
photo-sharing web sites. As part of the work, we introduce a new benchmark
dataset of webcam images, Photi-LakeIce, from multiple cameras and two
different winters, along with pixel-wise ground truth annotations.","['cs.CV', 'eess.IV']"
Meta-Learning Initializations for Image Segmentation,"We extend first-order model agnostic meta-learning algorithms (including
FOMAML and Reptile) to image segmentation, present a novel neural network
architecture built for fast learning which we call EfficientLab, and leverage a
formal definition of the test error of meta-learning algorithms to decrease
error on out of distribution tasks. We show state of the art results on the
FSS-1000 dataset by meta-training EfficientLab with FOMAML and using Bayesian
optimization to infer the optimal test-time adaptation routine hyperparameters.
We also construct a small benchmark dataset, FP-k, for the empirical study of
how meta-learning systems perform in both few- and many-shot settings. On the
FP-k dataset, we show that meta-learned initializations provide value for
canonical few-shot image segmentation but their performance is quickly matched
by conventional transfer learning with performance being equal beyond 10
labeled examples. Our code, meta-learned model, and the FP-k dataset are
available at https://github.com/ml4ai/mliis .","['cs.LG', 'cs.CV', 'eess.IV', 'stat.ML']"
Partly Supervised Multitask Learning,"Semi-supervised learning has recently been attracting attention as an
alternative to fully supervised models that require large pools of labeled
data. Moreover, optimizing a model for multiple tasks can provide better
generalizability than single-task learning. Leveraging self-supervision and
adversarial training, we propose a novel general purpose semi-supervised,
multiple-task model---namely, self-supervised, semi-supervised, multitask
learning (S$^4$MTL)---for accomplishing two important tasks in medical imaging,
segmentation and diagnostic classification. Experimental results on chest and
spine X-ray datasets suggest that our S$^4$MTL model significantly outperforms
semi-supervised single task, semi/fully-supervised multitask, and
fully-supervised single task models, even with a 50\% reduction of class and
segmentation labels. We hypothesize that our proposed model can be effective in
tackling limited annotation problems for joint training, not only in medical
imaging domains, but also for general-purpose vision tasks.",['cs.CV']
SimPropNet: Improved Similarity Propagation for Few-shot Image Segmentation,"Few-shot segmentation (FSS) methods perform image segmentation for a
particular object class in a target (query) image, using a small set of
(support) image-mask pairs. Recent deep neural network based FSS methods
leverage high-dimensional feature similarity between the foreground features of
the support images and the query image features. In this work, we demonstrate
gaps in the utilization of this similarity information in existing methods, and
present a framework - SimPropNet, to bridge those gaps. We propose to jointly
predict the support and query masks to force the support features to share
characteristics with the query features. We also propose to utilize
similarities in the background regions of the query and support images using a
novel foreground-background attentive fusion mechanism. Our method achieves
state-of-the-art results for one-shot and five-shot segmentation on the
PASCAL-5i dataset. The paper includes detailed analysis and ablation studies
for the proposed improvements and quantitative comparisons with contemporary
methods.",['cs.CV']
ACCL: Adversarial constrained-CNN loss for weakly supervised medical image segmentation,"We propose adversarial constrained-CNN loss, a new paradigm of
constrained-CNN loss methods, for weakly supervised medical image segmentation.
In the new paradigm, prior knowledge is encoded and depicted by reference
masks, and is further employed to impose constraints on segmentation outputs
through adversarial learning with reference masks. Unlike pseudo label methods
for weakly supervised segmentation, such reference masks are used to train a
discriminator rather than a segmentation network, and thus are not required to
be paired with specific images. Our new paradigm not only greatly facilitates
imposing prior knowledge on network's outputs, but also provides stronger and
higher-order constraints, i.e., distribution approximation, through adversarial
learning. Extensive experiments involving different medical modalities,
different anatomical structures, different topologies of the object of
interest, different levels of prior knowledge and weakly supervised annotations
with different annotation ratios is conducted to evaluate our ACCL method.
Consistently superior segmentation results over the size constrained-CNN loss
method have been achieved, some of which are close to the results of full
supervision, thus fully verifying the effectiveness and generalization of our
method. Specifically, we report an average Dice score of 75.4% with an average
annotation ratio of 0.65%, surpassing the prior art, i.e., the size
constrained-CNN loss method, by a large margin of 11.4%. Our codes are made
publicly available at https://github.com/PengyiZhang/ACCL.",['cs.CV']
Importance Driven Continual Learning for Segmentation Across Domains,"The ability of neural networks to continuously learn and adapt to new tasks
while retaining prior knowledge is crucial for many applications. However,
current neural networks tend to forget previously learned tasks when trained on
new ones, i.e., they suffer from Catastrophic Forgetting (CF). The objective of
Continual Learning (CL) is to alleviate this problem, which is particularly
relevant for medical applications, where it may not be feasible to store and
access previously used sensitive patient data. In this work, we propose a
Continual Learning approach for brain segmentation, where a single network is
consecutively trained on samples from different domains. We build upon an
importance driven approach and adapt it for medical image segmentation.
Particularly, we introduce learning rate regularization to prevent the loss of
the network's knowledge. Our results demonstrate that directly restricting the
adaptation of important network parameters clearly reduces Catastrophic
Forgetting for segmentation across domains.",['cs.CV']
Feedback U-net for Cell Image Segmentation,"Human brain is a layered structure, and performs not only a feedforward
process from a lower layer to an upper layer but also a feedback process from
an upper layer to a lower layer. The layer is a collection of neurons, and
neural network is a mathematical model of the function of neurons. Although
neural network imitates the human brain, everyone uses only feedforward process
from the lower layer to the upper layer, and feedback process from the upper
layer to the lower layer is not used. Therefore, in this paper, we propose
Feedback U-Net using Convolutional LSTM which is the segmentation method using
Convolutional LSTM and feedback process. The output of U-net gave feedback to
the input, and the second round is performed. By using Convolutional LSTM, the
features in the second round are extracted based on the features acquired in
the first round. On both of the Drosophila cell image and Mouse cell image
datasets, our method outperformed conventional U-Net which uses only
feedforward process.",['cs.CV']
A Spatially Constrained Deep Convolutional Neural Network for Nerve Fiber Segmentation in Corneal Confocal Microscopic Images using Inaccurate Annotations,"Semantic image segmentation is one of the most important tasks in medical
image analysis. Most state-of-the-art deep learning methods require a large
number of accurately annotated examples for model training. However, accurate
annotation is difficult to obtain especially in medical applications. In this
paper, we propose a spatially constrained deep convolutional neural network
(DCNN) to achieve smooth and robust image segmentation using inaccurately
annotated labels for training. In our proposed method, image segmentation is
formulated as a graph optimization problem that is solved by a DCNN model
learning process. The cost function to be optimized consists of a unary term
that is calculated by cross entropy measurement and a pairwise term that is
based on enforcing a local label consistency. The proposed method has been
evaluated based on corneal confocal microscopic (CCM) images for nerve fiber
segmentation, where accurate annotations are extremely difficult to be
obtained. Based on both the quantitative result of a synthetic dataset and
qualitative assessment of a real dataset, the proposed method has achieved
superior performance in producing high quality segmentation results even with
inaccurate labels for training.",['cs.CV']
LSM: Learning Subspace Minimization for Low-level Vision,"We study the energy minimization problem in low-level vision tasks from a
novel perspective. We replace the heuristic regularization term with a
learnable subspace constraint, and preserve the data term to exploit domain
knowledge derived from the first principle of a task. This learning subspace
minimization (LSM) framework unifies the network structures and the parameters
for many low-level vision tasks, which allows us to train a single network for
multiple tasks simultaneously with completely shared parameters, and even
generalizes the trained network to an unseen task as long as its data term can
be formulated. We demonstrate our LSM framework on four low-level tasks
including interactive image segmentation, video segmentation, stereo matching,
and optical flow, and validate the network on various datasets. The experiments
show that the proposed LSM generates state-of-the-art results with smaller
model size, faster training convergence, and real-time inference.",['cs.CV']
C2FNAS: Coarse-to-Fine Neural Architecture Search for 3D Medical Image Segmentation,"3D convolution neural networks (CNN) have been proved very successful in
parsing organs or tumours in 3D medical images, but it remains sophisticated
and time-consuming to choose or design proper 3D networks given different task
contexts. Recently, Neural Architecture Search (NAS) is proposed to solve this
problem by searching for the best network architecture automatically. However,
the inconsistency between search stage and deployment stage often exists in NAS
algorithms due to memory constraints and large search space, which could become
more serious when applying NAS to some memory and time consuming tasks, such as
3D medical image segmentation. In this paper, we propose coarse-to-fine neural
architecture search (C2FNAS) to automatically search a 3D segmentation network
from scratch without inconsistency on network size or input size. Specifically,
we divide the search procedure into two stages: 1) the coarse stage, where we
search the macro-level topology of the network, i.e. how each convolution
module is connected to other modules; 2) the fine stage, where we search at
micro-level for operations in each cell based on previous searched macro-level
topology. The coarse-to-fine manner divides the search procedure into two
consecutive stages and meanwhile resolves the inconsistency. We evaluate our
method on 10 public datasets from Medical Segmentation Decalthon (MSD)
challenge, and achieve state-of-the-art performance with the network searched
using one dataset, which demonstrates the effectiveness and generalization of
our searched models.",['cs.CV']
Color Image Segmentation using Adaptive Particle Swarm Optimization and Fuzzy C-means,"Segmentation partitions an image into different regions containing pixels
with similar attributes. A standard non-contextual variant of Fuzzy C-means
clustering algorithm (FCM), considering its simplicity is generally used in
image segmentation. Using FCM has its disadvantages like it is dependent on the
initial guess of the number of clusters and highly sensitive to noise.
Satisfactory visual segments cannot be obtained using FCM. Particle Swarm
Optimization (PSO) belongs to the class of evolutionary algorithms and has good
convergence speed and fewer parameters compared to Genetic Algorithms (GAs). An
optimized version of PSO can be combined with FCM to act as a proper
initializer for the algorithm thereby reducing its sensitivity to initial
guess. A hybrid PSO algorithm named Adaptive Particle Swarm Optimization (APSO)
which improves in the calculation of various hyper parameters like inertia
weight, learning factors over standard PSO, using insights from swarm
behaviour, leading to improvement in cluster quality can be used. This paper
presents a new image segmentation algorithm called Adaptive Particle Swarm
Optimization and Fuzzy C-means Clustering Algorithm (APSOF), which is based on
Adaptive Particle Swarm Optimization (APSO) and Fuzzy C-means clustering.
Experimental results show that APSOF algorithm has edge over FCM in correctly
identifying the optimum cluster centers, there by leading to accurate
classification of the image pixels. Hence, APSOF algorithm has superior
performance in comparison with classic Particle Swarm Optimization (PSO) and
Fuzzy C-means clustering algorithm (FCM) for image segmentation.","['cs.CV', '68U10', 'I.4.6']"
A generic ensemble based deep convolutional neural network for semi-supervised medical image segmentation,"Deep learning based image segmentation has achieved the state-of-the-art
performance in many medical applications such as lesion quantification, organ
detection, etc. However, most of the methods rely on supervised learning, which
require a large set of high-quality labeled data. Data annotation is generally
an extremely time-consuming process. To address this problem, we propose a
generic semi-supervised learning framework for image segmentation based on a
deep convolutional neural network (DCNN). An encoder-decoder based DCNN is
initially trained using a few annotated training samples. This initially
trained model is then copied into sub-models and improved iteratively using
random subsets of unlabeled data with pseudo labels generated from models
trained in the previous iteration. The number of sub-models is gradually
decreased to one in the final iteration. We evaluate the proposed method on a
public grand-challenge dataset for skin lesion segmentation. Our method is able
to significantly improve beyond fully supervised model learning by
incorporating unlabeled data.",['cs.CV']
Generator evaluator-selector net for panoptic image segmentation and splitting unfamiliar objects into parts,"In machine learning and other fields, suggesting a good solution to a problem
is usually a harder task than evaluating the quality of such a solution. This
asymmetry is the basis for a large number of selection oriented methods that
use a generator system to guess a set of solutions and an evaluator system to
rank and select the best solutions. This work examines the use of this approach
to the problem of panoptic image segmentation and class agnostic parts
segmentation. The generator/evaluator approach for this case consists of two
independent convolutional neural nets: a generator net that suggests variety
segments corresponding to objects, stuff and parts regions in the image, and an
evaluator net that chooses the best segments to be merged into the segmentation
map. The result is a trial and error evolutionary approach in which a generator
that guesses segments with low average accuracy, but with wide variability, can
still produce good results when coupled with an accurate evaluator. The
generator consists of a Pointer net that receives an image and a point in the
image, and predicts the region of the segment containing the point. Generating
and evaluating each segment separately is essential in this case since it
demands exponentially fewer guesses compared to a system that guesses and
evaluates the full segmentation map in each try. The classification of the
selected segments is done by an independent region-specific classification net.
This allows the segmentation to be class agnostic and hence, capable of
segmenting unfamiliar categories that were not part of the training set. The
method was examined on the COCO Panoptic segmentation benchmark and gave
results comparable to those of the basic semantic segmentation and Mask-RCNN
methods. In addition, the system was used for the task of splitting objects of
unseen classes (that did not appear in the training set) into parts.","['cs.CV', 'cs.LG']"
